Year of Birth,Gender,Count
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,17
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,16
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,15
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,14
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,13
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,12
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,11
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,FEMALE,10
2016,MALE,193
2016,MALE,160
2016,MALE,157
2016,MALE,148
2016,MALE,138
2016,MALE,133
2016,MALE,81
2016,MALE,77
2016,MALE,76
2016,MALE,76
2016,MALE,73
2016,MALE,69
2016,MALE,67
2016,MALE,64
2016,MALE,62
2016,MALE,61
2016,MALE,60
2016,MALE,58
2016,MALE,58
2016,MALE,57
2016,MALE,57
2016,MALE,56
2016,MALE,55
2016,MALE,54
2016,MALE,54
2016,MALE,53
2016,MALE,51
2016,MALE,51
2016,MALE,49
2016,MALE,46
2016,MALE,45
2016,MALE,45
2016,MALE,44
2016,MALE,44
2016,MALE,42
2016,MALE,41
2016,MALE,40
2016,MALE,39
2016,MALE,38
2016,MALE,38
2016,MALE,37
2016,MALE,37
2016,MALE,37
2016,MALE,36
2016,MALE,36
2016,MALE,35
2016,MALE,35
2016,MALE,35
2016,MALE,34
2016,MALE,34
2016,MALE,33
2016,MALE,33
2016,MALE,33
2016,MALE,32
2016,MALE,32
2016,MALE,32
2016,MALE,30
2016,MALE,29
2016,MALE,29
2016,MALE,28
2016,MALE,28
2016,MALE,28
2016,MALE,27
2016,MALE,27
2016,MALE,27
2016,MALE,27
2016,MALE,27
2016,MALE,26
2016,MALE,25
2016,MALE,25
2016,MALE,25
2016,MALE,25
2016,MALE,25
2016,MALE,25
2016,MALE,24
2016,MALE,24
2016,MALE,24
2016,MALE,24
2016,MALE,24
2016,MALE,23
2016,MALE,23
2016,MALE,23
2016,MALE,23
2016,MALE,22
2016,MALE,22
2016,MALE,22
2016,MALE,22
2016,MALE,21
2016,MALE,21
2016,MALE,21
2016,MALE,21
2016,MALE,21
2016,MALE,21
2016,MALE,20
2016,MALE,20
2016,MALE,20
2016,MALE,20
2016,MALE,20
2016,MALE,20
2016,MALE,19
2016,MALE,19
2016,MALE,19
2016,MALE,19
2016,MALE,19
2016,MALE,19
2016,MALE,19
2016,MALE,18
2016,MALE,18
2016,MALE,18
2016,MALE,18
2016,MALE,18
2016,MALE,18
2016,MALE,18
2016,MALE,18
2016,MALE,18
2016,MALE,18
2016,MALE,18
2016,MALE,17
2016,MALE,17
2016,MALE,17
2016,MALE,17
2016,MALE,17
2016,MALE,17
2016,MALE,16
2016,MALE,16
2016,MALE,16
2016,MALE,15
2016,MALE,15
2016,MALE,15
2016,MALE,15
2016,MALE,15
2016,MALE,15
2016,MALE,15
2016,MALE,14
2016,MALE,14
2016,MALE,14
2016,MALE,14
2016,MALE,14
2016,MALE,14
2016,MALE,14
2016,MALE,14
2016,MALE,14
2016,MALE,14
2016,MALE,14
2016,MALE,14
2016,MALE,14
2016,MALE,13
2016,MALE,13
2016,MALE,13
2016,MALE,13
2016,MALE,13
2016,MALE,13
2016,MALE,13
2016,MALE,13
2016,MALE,13
2016,MALE,13
2016,MALE,13
2016,MALE,13
2016,MALE,12
2016,MALE,12
2016,MALE,12
2016,MALE,12
2016,MALE,12
2016,MALE,12
2016,MALE,12
2016,MALE,12
2016,MALE,12
2016,MALE,11
2016,MALE,11
2016,MALE,11
2016,MALE,11
2016,MALE,11
2016,MALE,11
2016,MALE,11
2016,MALE,11
2016,MALE,11
2016,MALE,11
2016,MALE,11
2016,MALE,11
2016,MALE,11
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,10
2016,MALE,148
2016,MALE,137
2016,MALE,116
2016,MALE,108
2016,MALE,107
2016,MALE,101
2016,MALE,95
2016,MALE,94
2016,MALE,91
2016,MALE,91
2016,MALE,80
2016,MALE,75
2016,MALE,71
2016,MALE,66
2016,MALE,65
2016,MALE,65
2016,MALE,64
2016,MALE,61
2016,MALE,58
2016,MALE,58
2016,MALE,57
2016,MALE,57
2016,MALE,56
2016,MALE,54
2016,MALE,52
2016,MALE,50
2016,MALE,47
2016,MALE,47
2016,MALE,47
2016,MALE,45
2016,MALE,45
2016,MALE,44
2016,MALE,44
2016,MALE,42
2016,MALE,41
2016,MALE,41
2016,MALE,40
2016,MALE,40
2016,MALE,39
2016,MALE,39
2016,MALE,38
2016,MALE,37
2016,MALE,37
2016,MALE,36
2016,MALE,35
2016,MALE,35
2016,MALE,35
2016,MALE,35
2016,MALE,35
2016,MALE,35
2016,MALE,34
2016,MALE,34
2016,MALE,34
2016,MALE,33
2016,MALE,33
2016,MALE,32
2016,MALE,32
2016,MALE,31
2016,MALE,31
2016,MALE,31
2016,MALE,31
2016,MALE,30
